Start,End
3.70, 6.60
6.80, 10.20
10.80, 15.20
15.40, 18.10
19.00, 20.60
20.80, 21.80
22.00, 31.10
31.70, 35.00
35.10, 40.00
40.00, 40.60
40.80, 41.70
41.90, 44.30
44.60, 45.80
46.40, 49.70
50.00, 53.70
54.40, 58.10
58.20, 61.70
61.90, 66.70
66.90, 71.80
72.10, 77.00
77.60, 79.20
79.30, 80.00
80.00, 81.60
81.70, 84.80
85.50, 96.20
97.00, 98.70
99.20, 99.50
99.70, 101.40
102.10, 104.10
104.30, 106.00
106.10, 108.90
109.10, 111.70
112.50, 115.10
115.50, 115.80
115.90, 118.70
118.80, 119.60
120.40, 122.70
122.80, 123.70
123.80, 124.60
125.20, 126.90
127.10, 130.10
130.80, 132.70
132.80, 133.90
134.20, 136.30
136.40, 137.90
138.80, 139.90
140.00, 146.60
147.10, 150.60
150.80, 152.30
152.40, 154.20
